Authors,Title,Year,Issue,Page start,Page end,Abstract,Affiliations,ISBN,DOI,Link,EID,Publisher,Cited by,Source title,Source
A. A. Souza; T. S. Barcelos; R. Munoz; I. F. Silveira; N. Omar; L. A. Silva,Self-organizing maps to find computational thinking features in a game building workshop,2017,Null,1,8,"Various didactic strategies to develop Computational Thinking (CT) skills have been successful in terms of student engagement and educational outcomes. However, monitoring the learning progress of students is still a hurdle to teachers and researchers. In this context, we explore the use of self-organizing maps for analyzing games produced in a game building workshop offered simultaneously to technical education students in Brazil and to undergraduate students in Computer Engineering in Chile. Metrics from seven CT features present in the games were extracted with the Dr. Scratch tool and used as an input in the training process. The results allowed a clustering analysis considering the identified features and the correlation between learning behaviors. The organization of the map reflected a progressive skill acquisition identified by features present in the developed games. Also, it could be identified that students of both educational levels reached similar levels of CT skill development.","Instituto Federal de Educacao Ciencia e Tecnologia de Sao Paulo, Sao Paulo, SP, BR; Instituto Federal de Educacao Ciencia e Tecnologia de Sao Paulo, Sao Paulo, SP, BR; Universidad de Valparaiso, Valparaiso, CL; Universidade Presbiteriana Mackenzie, Sao Paulo, SP, BR; Universidade Presbiteriana Mackenzie, Sao Paulo, SP, BR; Universidade Presbiteriana Mackenzie, Sao Paulo, SP, BR",978-1-5386-3057-0,10.1109/CLEI.2017.8226407,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8226407,IEEE Conferences,IEEE,2,2017 XLIII Latin American Computer Conference (CLEI),IEEE Xplore
A. Malizia; T. Turchi; K. A. Olsen,Block-oriented programming with tangibles: An engaging way to learn computational thinking skills,2017,Null,61,64,"Block-oriented programming environments, such as Scratch and AppInventor, have become mainstream and have helped introduce non-programmers to algorithmic thinking; that is, to computational thinking (CT) skills. In various experiments, referenced in this paper, we observed how objects (tangibles) augmented with digital properties - that is, tangible user interface (TUI) objects - can help develop CT skills. We investigate which paradigm can be used to introduce CT skills with TUIs. By drawing on past experience, we conclude that block-oriented programming provides a suitable answer to our research questions. Furthermore, we introduce a framework for implementing block-oriented programmable objects that we believe can help end-users learn CT skills.","School of Creative Arts, University of Hertfordshire, London, UK; Department of Computer Science, Brunel University London, London, UK; Molde University College, Molde, Norway",978-1-5386-2480-7,10.1109/BLOCKS.2017.8120413,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8120413,IEEE Conferences,IEEE,2,2017 IEEE Blocks and Beyond Workshop (B&B),IEEE Xplore
A. Malizia; D. Fogli; F. Danesi; T. Turchi; D. Bell,TAPASPlay: A game-based learning approach to foster computation thinking skills,2017,Null,345,346,"In this paper we describe how to use a Game-Based Learning (GBL) approach to help end-user programmers to develop Computational Thinking (CT) skills. CT represents a framework consisting of a set of skills such as: abstraction, decomposition and more in general problem solving expressed in a computational form (algorithmic thinking) that can be easily formalised into a computer program. Those skills are beneficial for end-user programmers in order to model a task for being tackled with computational tools, e.g. spreadsheets, domain specific and visual languages. TAPASPlay is an engaging GBL platform designed to help end-user to learn algorithmic thinking.","School of Creative Arts, University of Hertfordshire, UK; Computer Science Dept., Brunel University London, UK; Computer Science Dept., Brunel University London, UK; Dept. of Information Engineering, Univ. of Brescia, Italy; Dept. of Information Engineering, Univ. of Brescia, Italy",978-1-5386-0443-4,10.1109/VLHCC.2017.8103502,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8103502,IEEE Conferences,IEEE,4,2017 IEEE Symposium on Visual Languages and Human-Centric Computing (VL/HCC),IEEE Xplore
A. D. F. Pérez; G. M. Valladares,Development and assessment of computational thinking: A methodological proposal and a support tool,2018,Null,787,795,"The objective of this work is focused on the definition of a methodology for the development of computational thinking and the subsequent measurement of the development obtained in the students. The methodological proposal includes specific tasks or activities to develop computational thinking as well as tests that allow analyzing the extent to which computational thinking or skills related to problem solving have been developed in a scientific, specific, or even general or of practical application in situations of daily life. Once the methodological framework was defined, we proceeded to develop a computer tool that provides global support for the implementation of this methodology. The implemented platform has a simple and intuitive design that allows an easy use of it since it is aimed at pre-university students and teachers who necessarily do not have advanced knowledge of Computer Science. Finally, the platform automatically provides progress reports and course development, including statistical data by age or gender, among others.","Departamento de Ingeniería Informática y de Sistemas, Universidad de La Laguna, Santa Cruz de Tenerife, Spain; Departamento de Ingeniería Informática y de Sistemas, Universidad de La Laguna, Santa Cruz de Tenerife, Spain",978-1-5386-2957-4,10.1109/EDUCON.2018.8363311,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8363311,IEEE Conferences,IEEE,6,2018 IEEE Global Engineering Education Conference (EDUCON),IEEE Xplore
A. M. Seoane Pardo,Computational Thinking Between Philosophy and STEM—Programming Decision Making Applied to the Behavior of “Moral Machines” in Ethical Values Classroom,2018,1.0,20,29,"This paper describes a learning activity on computational thinking in ethics classroom with compulsory secondary school students (14-16 years old). It is based on the assumption that computational thinking (or better “logical thinking”) is applicable not only to science, technology, engineering, and mathematics subjects but to any other field in education, and it is particularly suited for decision making in moral dilemmas. This will be carried out through the study of so called “moral machines,"" using a game-based learning approach on self-driving vehicles and the need to program such cars to perform certain behavior's under extreme situations. Students will be asked to logically base their reasoning on different ethical approaches and try to develop a schema of decision making that could serve to program a machine to respond to those situations. Students will also have to deal with the uncertainty of reaching solutions that will be debatable and not universally accepted as a part of the difficulty, more ethical than technical, to provide machines with the ability to take decisions where there is no such thing as a “right” versus “wrong” answer, and potentially both (or more) of the possible actions will bring unwanted consequences.","Research GRoup of InterAction and eLearning, University of Salamanca, Salamanca, Spain",Null,10.1109/RITA.2018.2809940,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8305482,IEEE Journals,IEEE,9,IEEE Revista Iberoamericana de Tecnologias del Aprendizaje,IEEE Xplore
A. Rojas-López; F. J. García-Peñalvo,Learning Scenarios for the Subject Methodology of Programming From Evaluating the Computational Thinking of New Students,2018,1.0,30,36,"Computational thinking is a cognitive process that allows generating solutions to problems through the use of skills, such as abstraction, decomposition, and algorithmic design. This paper presents the proposal to evaluate computational thinking of new students to relate knowledge indicated in the subject methodology of programming and to offer an initial environment of learning. This paper describes the exercises selected to evaluate the previously mentioned skills, and correspondence between the different contents of the course; using a qualitative methodology, the experiences of 65 students were evaluated. The results obtained favored activity carried out, and they also indicated improvements for future generations.","Universidad Tecnológica de Puebla, Puebla, México; Grupo de Investigación GRIAL, Instituto de Ciencias de la Educación, Universidad de Salamanca, Salamanca, España",Null,10.1109/RITA.2018.2809941,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8305543,IEEE Journals,IEEE,12,IEEE Revista Iberoamericana de Tecnologias del Aprendizaje,IEEE Xplore
A. Gerosa; V. Koleszar; L. Gómez-Sena; G. Tejera; A. Carboni,Educational Robotics and Computational Thinking Development in Preschool,2019,Null,226,230,"Programming robots playing with the environment is an ongoing research project aimed at developing a robot and intervention program capable of enhancing young children's cognitive abilities and computational thinking skills. Using a robot sensitive to color and distance, children are able to use everyday objects in order to interact with it and program its movements. An eleven session intervention program using this robot was designed with the objective of creating playful learning instances were children would practice abilities associated with what is generally thought of as computational thinking. We'll assess children's computational thinking, fluid intelligence, working memory, planning, sequencing, number recognition and magnitude comparison, vocabulary, mental rotation, inhibitory control and cognitive flexibility to test for cognitive effects of the intervention. An active control in which children interact with the robot by remotely controlling it was used.","Centro Interdisciplinario en Cognición para la Enseñanza y el Aprendizaje, Universidad de la República, Montevideo, Uruguay; Centro Interdisciplinario en Cognición para la Enseñanza y el Aprendizaje, Universidad de la República, Montevideo, Uruguay; Centro Interdisciplinario en Cognición para la Enseñanza y el Aprendizaje, Universidad de la República, Montevideo, Uruguay; Centro Interdisciplinario en Cognición para la Enseñanza y el Aprendizaje, Universidad de la República, Montevideo, Uruguay; Centro Interdisciplinario en Cognición para la Enseñanza y el Aprendizaje, Universidad de la República, Montevideo, Uruguay",978-1-7281-4286-9,10.1109/LACLO49268.2019.00046,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8995066,IEEE Conferences,IEEE,5,2019 XIV Latin American Conference on Learning Technologies (LACLO),IEEE Xplore
A. N. A. Nuar; M. Z. A. Rozan,Benefits of Computational Thinking in Entrepreneurship,2019,Null,1,6,"Computational thinking is an essential skill that allows humans to solve a complex problem that later on can be understood by computers and humans. Abstraction and automation are the core of computational thinking. Therefore, CT is the key skill in Industry 4.0. However, in Malaysia's manufacturing, only 50 percent of SMEs deploy automation. Automation can make the company more efficient, more accurate and decrease human error. CT was built based on 4 basic pillars which are abstraction, decomposition, algorithm and pattern recognition. These pillars will encourage automation, efficiency, and innovation. Moreover, one of the benefits of CT for nonprogrammer is the formulated problem can be passed on to information-processing agents such as third-party companies or freelancers who can create the solution. In this paper, we review the benefits of computational thinking in entrepreneurship in the context of Industry 4.0.","Department of Information Systems, Universiti Teknologi Malaysia, Skudai, Malaysia; Department of Information Systems, Universiti Teknologi Malaysia, Skudai, Malaysia",978-1-7281-6726-8,10.1109/ICRIIS48246.2019.9073671,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9073671,IEEE Conferences,IEEE,3,2019 6th International Conference on Research and Innovation in Information Systems (ICRIIS),IEEE Xplore
A. Gardeli; S. Vosinakis,ARQuest: A Tangible Augmented Reality Approach to Developing Computational Thinking Skills,2019,Null,1,8,"Computational thinking is considered an important skillset for 21st century learners and became a subject of focus in K-12 education in the recent years. It cultivates problem-solving and algorithmic thinking and can be helpful in wider aspects of everyday life, besides programming and computer science. There have been various approaches to teach computational thinking in early education stages that utilize modern technologies, such as physical computing and robotics, and adopt a playful manner. Mobile Augmented Reality is a promising technology along this path that lets users collaborate and interact with both physical and digital elements. However, the technology is still relatively new and has not been studied extensively with students, especially in formal educational settings. In this paper we present ARQuest, a collaborative mobile augmented reality game for developing computational thinking skills of primary school students. The game combines a physical board and tangible tokens with animated 3D content, and students use them to create and solve challenges in a gamified environment. We have performed an exploratory study in two primary schools in order to explore the impact of ARQuest on students' understanding of algorithmic concepts, engagement and collaboration. The study led to a number of interesting conclusions regarding the game, as well as more generic aspects of interacting and collaborating in mobile augmented reality.","Department of Product & Systems Design Engineering, University of the Aegean, Syros, Greece; Department of Product & Systems Design Engineering, University of the Aegean, Syros, Greece",978-1-7281-4540-2,10.1109/VS-Games.2019.8864603,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8864603,IEEE Conferences,IEEE,30,2019 11th International Conference on Virtual Worlds and Games for Serious Applications (VS-Games),IEEE Xplore
A. H. Abdullah; M. A. Othman; N. Ismail; S. N. S. A. Rahman; M. Mokhtar; N. M. Zaid,Development of Mobile Application for The Concept of Pattern Recognition in Computational Thinking for Mathematics Subject,2019,Null,1,9,"Computational thinking is one of the aspects emphasised in the Malaysian education system. However, the learning aids in the form of mobile applications that support computational thinking for mathematics are very limited in Malaysia. With that notion, this study aims to develop a mobile app for conceptual recognition pattern which is one of the skills in computational thinking for secondary school mathematics. The ADDIE model comprises of five phases which are analysis, design, development, implementation and evaluation are used as references for the development purpose. The earliest three phases of the ADDIE model focus on the aspect of application development. While the last two phases involve the aspects of appraisal from the applications which has been developed and it involved 23 mathematics teachers. Questionnaires with Likert Scale were used in the study as instruments to measure the five main aspects of the applications which are facilitation, usefulness, design, knowledge and suitability. The data was analysed using descriptive statistics based on frequency and percentage. The results of the analysis showed that the majority of respondents gave positive feedback on the five aspects measured in using the application. In conclusion, the mobile app of the pattern recognition concept for computational thinking skills for this mathematics subject has been agreed by the respondents to have good characteristics and brings great potential for the use by teachers and students in mathematics' classes.","School of Education Faculty of Social Sciences and Humanities, Universiti Teknologi Malaysia, Johor Bahru, Malaysia; School of Education Faculty of Social Sciences & Humanities, Universiti Teknologi Malaysia; School of Education Faculty of Social Sciences & Humanities, Universiti Teknologi Malaysia; School of Education Faculty of Social Sciences and Humanities, Universiti Teknologi Malaysia, Johor Bahru, Malaysia; School of Education Faculty of Social Sciences & Humanities, Universiti Teknologi Malaysia; School of Education Faculty of Social Sciences & Humanities, Universiti Teknologi Malaysia",978-1-7281-2665-4,10.1109/TALE48000.2019.9225910,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9225910,IEEE Conferences,IEEE,4,"2019 IEEE International Conference on Engineering, Technology and Education (TALE)",IEEE Xplore
A. Muñoz del Castillo; M. A. Muñoz; L. C. Acosta Huertas; E. Herrera; J. Jimenez Toledo; D. X. Ramos,Developing a Teacher Training Curriculum Including Computational Thinking Skills: Early Advances on a Study Focused on Colombia,2019,Null,8,11,"During training at the Complementary Formation Program (CFP), Colombian primary school teachers do not acquire Computational Thinking (CT) skills, which are considered fundamental for the knowledge economies of the 21st century. In this paper, we describe the early stages of a project aiming to reform the CFP curriculum, such that CT skills becomes an integral part. As a first step, we carried-out four introductory workshops with 64 first-and third-semester CFP students and then surveyed them to gather their perceptions on CT. The results show that the students have a limited understanding of CT and its associated skills, but they recognize their importance. Moreover, they agree that primary school should be the starting point to develop them. The project will continue gathering information from current CFP teachers, current primary school teachers, and university professors who are experts in curriculum development, to develop the curricular proposal.","Universidad de Santander, Pasto, Colombia; University of Melbourne, Melbourne, VIC, Australia; Escuela Normal Superior de Pasto, Pasto, Colombia; Escuela Normal Superior de Pasto, Pasto, Colombia; Institucion Universitaria CESMAG, Pasto, Colombia; Institución Universitaria CESMAG, Pasto, Colombia",978-1-7281-4286-9,10.1109/LACLO49268.2019.00012,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8995162,IEEE Conferences,IEEE,2,2019 XIV Latin American Conference on Learning Technologies (LACLO),IEEE Xplore
A. M. d. S. Esteves; A. L. M. Santana; R. Lyra,Use of Augmented Reality for Computational Thinking Stimulation through Virtual,2019,Null,102,106,"Studies with augmented reality show that while the technology helps the student learn, it may end up disturbing other points, showing that more research is needed with the use of augmented reality. Also, a topic that is growing within education is Computational Thinking, which says that the thinking like computer scientists is necessary for the 21st century and should be disseminated mainly in schools during basic education. In the face of this, this work created an augmented reality android application that tracks physical tiles and creates 3D maps for the user, also giving a character that can be programmed to walk on this created map, simulating a programming toy. Finally, tests carried out with the application have shown that augmented reality currently has performance problems when multiple targets are used, so, devices with low processing have problems at map tracking. These issues affected the tests with the children, which made it difficult for them to track the map like they wanted, but they still liked the app even after it. That shows that the acceptance of the technology by the children is good, which can help developing Computational Thinking, but the technology limitation is still a problem. These obstacles while currently hindering the use of augmented reality in education may in the future be irrelevant due to the constant advancement of technology. This paper's main contribution is showing one possibility of using AR with Computational Thinking and what needs to evolve for it to be used by the usable by the children.","Universidade do Vale do Itajaí, Itajai, Brazil; Universidade Anhembi Morumbi, Sao Paulo, Brazil; Universidade do Vale do Itajaí - UNIVALI, Itajaí, Brazil",978-1-7281-5434-3,10.1109/SVR.2019.00031,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8921049,IEEE Conferences,IEEE,5,2019 21st Symposium on Virtual and Augmented Reality (SVR),IEEE Xplore
A. Eguíluz; M. Guenaga; P. Garaizar; C. Olivares-Rodríguez,Exploring the Progression of Early Programmers in a Set of Computational Thinking Challenges via Clickstream Analysis,2020,1.0,256,261,"In recent years, many initiatives have aimed to develop basic computational thinking skills. Despite the popularity of online platforms for early programmers, we still lack detailed information to analyze how these skills are acquired. In the present study we analyzed clickstream data from 3,355 participants enrolled in several Computational Thinking workshops using Kodetu, an online platform with fine grained logging features. Participants used Kodetu's coding blocks to solve challenges of increasing difficulty while we gathered their clickstream in the platform. Here, we present our findings after evaluating these data in regards of participants' characteristics (age, sex, previous knowledge), similarity with previously submitted solutions, and degree of discrepancy from the optimal solution. To facilitate collaboration with other researchers in this area, we released our dataset under an open license. To the best of our knowledge, this is the largest Computational Thinking-related datasets publicly available.","Faculty of Engineering, University of Deusto, Bilbao, Spain; Faculty of Engineering, University of Deusto, Bilbao, Spain; Faculty of Engineering, University of Deusto, Bilbao, Spain; Engineering Sciences Department, Universidad Andres Bello, Santiago, Chile",Null,10.1109/TETC.2017.2768550,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8093668,IEEE Journals,IEEE,19,IEEE Transactions on Emerging Topics in Computing,IEEE Xplore
A. E. Johnson,Making a Case for Studying the Effects of Using GitHub on HBCU Students' Computational Thinking Skills,2021,Null,1,2,"While preparing students for careers beyond graduation, HBCU faculty often have to balance the priorities of bridging the gap between the level of student preparation and the expected level of preparedness as influenced by industry and discipline standards. Prioritization of these standards does not always align with the experience of students at Historically Black College and Universities (HBCU) and Minority Serving Institutions (MSI). The Association of Computing Machinery (ACM) 2013 Computer Science Curricula guidelines highlight version control as one of many core tools in the Social Issues and Professional Practice (SP) Knowledge Area students should experience in their upper-level software engineering courses. Research has demonstrated that at this level, students receive exposure to the tool but are not able to gain sufficient mastery. Other researchers have advocated for version control being introduced earlier in the computer science curricula. There is limited research that indicates that this particular tool improves the learning outcomes for students or significantly complements the other ACM Knowledge Areas. This paper explores the challenges experienced by an HBCU faculty member while integrating GitHub into an advanced programming class. It is important to note, there is no research that directly addresses the use of version control in predominately African American classrooms.","Computer and Information Sciences, Spelman College, Atlanta, USA",978-1-6654-4905-2,10.1109/RESPECT51740.2021.9620585,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9620585,IEEE Conferences,IEEE,0,"2021 Conference on Research in Equitable and Sustained Participation in Engineering, Computing, and Technology (RESPECT)",IEEE Xplore
